ID,Y,公告发布时间_x,2018年_上市公司供应商信息_项目名称,2018年_上市公司供应商信息_供应商中标价格,2019年_上市公司供应商信息_项目名称,2019年_上市公司供应商信息_供应商中标价格,2020年_上市公司供应商信息_项目名称,2020年_上市公司供应商信息_供应商中标价格,2021年_上市公司供应商信息_项目名称,2021年_上市公司供应商信息_供应商中标价格,2022年_上市公司供应商信息_项目名称,2022年_上市公司供应商信息_供应商中标价格,2023年_上市公司供应商信息_项目名称,2023年_上市公司供应商信息_供应商中标价格,公告发布时间_y,2018年_央企供应商信息_项目名称,2018年_央企供应商信息_中标价格,2019年_央企供应商信息_项目名称,2019年_央企供应商信息_中标价格,2020年_央企供应商信息_项目名称,2020年_央企供应商信息_中标价格,2021年_央企供应商信息_项目名称,2021年_央企供应商信息_中标价格,2022年_央企供应商信息_项目名称,2022年_央企供应商信息_中标价格,2023年_央企供应商信息_项目名称,2023年_央企供应商信息_中标价格,公告发布时间,2018年_政府供应商信息_项目名称,2018年_政府供应商信息_中标价格,2019年_政府供应商信息_项目名称,2019年_政府供应商信息_中标价格,2020年_政府供应商信息_项目名称,2020年_政府供应商信息_中标价格,2021年_政府供应商信息_项目名称,2021年_政府供应商信息_中标价格,2022年_政府供应商信息_项目名称,2022年_政府供应商信息_中标价格,2023年_政府供应商信息_项目名称,2023年_政府供应商信息_中标价格
corp_1001749,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001231,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004522,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001738,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,
corp_1003948,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,284810.0,,,,,1.0,0.0,,,,
corp_1000484,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
corp_1001399,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2038000.0,,,,,,,,,,
corp_1004202,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001235,0.0,2.0,,,,,,,,,,,,,2.0,,,1.0,0.0,,,,,3.0,7138000.0,,,,,,,,,,,,,,,
corp_1004342,0.0,,,,,,,,,,,,,,1.0,,,,,1.0,0.0,,,,,,,3.0,,,2.0,0.0,15.0,0.0,11.0,0.0,,,,
corp_1002499,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000049,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000340,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,398000.0,1.0,0.0,,
corp_1003575,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004928,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,0.0,,,3.0,,,,,,,11.0,9562900.0,10.0,31073238.0,1.0,0.0
corp_1004660,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003063,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003833,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003218,1.0,3.0,,,,,,,,,,,,,3.0,,,,,5.0,0.0,5.0,35701466.54,10.0,95116440.06,,,,,,,,,,,,,,,
corp_1004816,0.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,2.0,0.0,,,2.0,,,,,2.0,1198000.0,,,,,1.0,0.0
corp_1001797,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000740,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004209,1.0,3.0,,,,,,,,,,,,,6.0,,,2.0,1029419.0,12.0,4242672.0,6.0,1517000.0,15.0,7907000.0,3.0,780000.0,,,,,,,,,,,,,
corp_1004356,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001049,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000743,0.0,4.0,,,,,,,,,,,,,2.0,,,3.0,1300000.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
corp_1004195,0.0,8.0,,,,,,,,,,,,,10.0,4.0,18414080.0,9.0,76735974.88,10.0,22512269.0,15.0,183557518.79,37.0,239861635.36,2.0,4500000.0,7.0,1.0,13207300.0,2.0,0.0,12.0,14691174.530000001,7.0,10616100.0,13.0,13841221.06,,
corp_1001584,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003232,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002611,1.0,1.0,,,,,,,,,,,,,2.0,,,,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,
corp_1000899,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003308,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000984,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004411,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001595,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004603,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1002869,0.0,1.0,,,,,,,,,,,,,2.0,,,,,3.0,8975754.81,,,1.0,0.0,,,1.0,,,,,,,1.0,6284124.0,,,,
corp_1001296,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,1950000.0,1.0,730000.0,,,1.0,8190700.0,,
corp_1003069,1.0,7.0,,,,,,,,,,,,,7.0,,,2.0,0.0,5.0,5364500.0,7.0,10821700.0,5.0,1747120.0,1.0,3837570.0,,,,,,,,,,,,,
corp_1004481,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
corp_1003790,0.0,,,,,,,,,,,,,,2.0,,,,,1.0,0.0,1.0,0.0,,,,,2.0,,,1.0,0.0,1.0,0.0,,,,,,
corp_1003984,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003235,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004610,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000867,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000873,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1000315,0.0,2.0,,,,,,,,,,,,,3.0,,,,,1.0,0.0,3.0,18137200.0,7.0,2826100.0,,,6.0,1.0,830000.0,2.0,1009800.0,,,2.0,1270000.0,1.0,492500.0,,
corp_1003143,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,463000.0,1.0,0.0,,,,,1.0,69000.0,,
corp_1004822,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001643,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003646,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1003033,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1004905,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,0.0,,,5.0,1.0,3273600.0,,,2.0,15548000.0,5.0,19233409.6,8.0,12672887.6,,
corp_1000555,0.0,3.0,,,,,,,,,,,,,2.0,,,,,,,6.0,61539079.120000005,7.0,89527879.28999999,,,6.0,5.0,15083889.99,5.0,6438980.0,6.0,26341078.47,10.0,36168825.489999995,10.0,5304860118.61,,
corp_1001612,1.0,1.0,,,,,,,,,,,,,3.0,1.0,48088649.09,,,2.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,
corp_1002642,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corp_1001936,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,6.0,16060000.0,,,,
